gene	conMean	treatMean	logFC	pValue	fdr
TOMM34	3.7119141	4.45149828248663	0.739584182486631	2.09207567906791e-21	1.43919816769524e-20
TMEM70	4.29091456	4.93107422569519	0.640159665695187	1.48872149115554e-15	4.88479826574178e-15
ACP6	3.31213706	4.09983432986631	0.78769726986631	2.41266435664827e-20	1.39015422454496e-19
F9	10.23902232	7.83566074425134	-2.40336157574866	7.13656459663594e-20	3.79745139425375e-19
RUVBL1	3.46962028	4.31670096427808	0.847080684278075	6.88003500340952e-26	1.6880930329199e-24
SLC25A15	6.9302031	6.2616372197861	-0.668565880213904	9.73567633898212e-05	0.000137658442616022
MAP2	2.14613744	2.75706128783422	0.610923847834225	6.3044774449337e-10	1.29989377383519e-09
NT5C	3.5328708	4.23410471754011	0.701233917540107	8.44380105435066e-19	3.92754579847706e-18
ACADSB	7.40471484	5.96966095072193	-1.43505388927807	1.46190068303459e-18	6.57148536042979e-18
NOL3	2.9948262	3.76289077016043	0.768064570160428	1.75899746428361e-13	4.78215592552081e-13
NFYA	2.84235502	3.52830955620321	0.685954536203209	5.48879696969123e-19	2.60939416756096e-18
CSNK1E	3.12710264	3.95761315173797	0.830510511737968	8.19759489073666e-22	6.08481980419134e-21
GOLGA8A	3.77001108	4.52913043951872	0.759119359518717	5.34406445479151e-14	1.52222255173084e-13
CPB2	10.25774946	9.51425223989305	-0.743497220106951	3.02523119107182e-08	5.51876644170537e-08
ABCD1	3.21293308	4.1288363263369	0.915903246336899	5.04799268613237e-21	3.25466564938739e-20
SPP1	4.5853385	6.72272023219251	2.13738173219251	2.72054447742363e-07	4.6471803073067e-07
EHD2	3.37920428	4.07673145064171	0.697527170641711	2.77433307586796e-12	6.82229511668755e-12
RBP4	10.59451572	9.87626452580214	-0.718251194197862	3.91569425188526e-09	7.63011853670913e-09
SSRP1	4.51363516	5.26960296724599	0.755967807245989	3.35006807600697e-21	2.23329443889582e-20
KDM5B	2.68908668	3.37745413393048	0.688367453930481	1.37786441766813e-16	5.05216953144981e-16
CSTF2	2.943078	3.81164345692513	0.868565456925134	7.18568303678929e-24	8.55406176064148e-23
ZBTB7B	3.08877074	3.91404744318182	0.825276703181818	7.16330351881616e-21	4.48429907737088e-20
GGA1	3.72117708	4.43138772909091	0.710210649090909	4.87397124100748e-24	6.02966218092704e-23
HMGN2	7.40028668	8.06608419772727	0.665797517727273	1.45340344842179e-14	4.33274136345247e-14
PCID2	4.13371434	4.73616742582888	0.602453085828877	2.94126931326973e-16	1.03506899777337e-15
ZBED4	2.24892676	2.83509634898396	0.586169588983958	4.54599938921939e-19	2.19066080769094e-18
LMNB1	2.49249968	3.50431590002674	1.01181622002674	3.51895234817261e-15	1.11408265560605e-14
DUSP1	8.4617429	7.09154876791444	-1.37019413208556	6.88476209177237e-14	1.93425901897663e-13
ACOT9	3.49633648	4.1166284518984	0.620291971898395	1.36326651317936e-17	5.56971929274435e-17
ZBTB22	3.11624472	3.85464206770053	0.738397347700535	2.22707951022617e-23	2.32252577495015e-22
MAGEA1	1.75548402	2.88833963144385	1.13285561144385	3.11955848971522e-13	8.28225432511408e-13
ZNF787	3.58667732	4.34612122604278	0.759443906042781	6.44350895807984e-20	3.45990970375193e-19
MAN1A1	6.64357592	5.98856763262032	-0.655008287379679	2.53732751299449e-08	4.66047284721986e-08
IMPDH2	5.3967434	6.69171836302139	1.29497496302139	3.88786454821327e-24	4.96982743189114e-23
DOK4	3.30369434	3.89826610622995	0.594571766229947	1.93504895642661e-12	4.81337297440615e-12
NDST1	3.590989	4.49882994786096	0.907840947860963	1.43665027707955e-20	8.59751483566644e-20
PSMB5	5.95110638	6.88114597550802	0.930039595508021	5.61783745030278e-27	2.52704050274728e-25
SCML1	5.01758428	5.60367739441176	0.586093114411764	6.06362998394231e-10	1.25198793006457e-09
RNF44	3.42412102	4.27701589350267	0.852894873502674	2.8331816470309e-20	1.6176789585148e-19
MAGED1	6.27995398	6.89015184286096	0.610197862860963	2.36435176822595e-08	4.35998312499787e-08
PTK2	3.92638982	4.82216446839572	0.895774648395722	1.96794671231776e-23	2.09684840891469e-22
SOX9	3.59467924	4.56575417243315	0.971074932433155	2.70402168942063e-06	4.28039849151477e-06
CA2	7.3080587	5.97393975954545	-1.33411894045455	1.63394601597054e-13	4.46278452661341e-13
CDK5RAP2	3.11002302	3.96534421106952	0.855321191069519	2.01726525414238e-23	2.13395257363349e-22
